idx,hole,tee,pin,lat,lon,disc,label
1,1,reg,A,33.07931149057757,-117.0586397398525,SIDEWINDER-1,DRIVE
2,1,reg,A,33.079317055310824,-117.058647340845,SIDEWINDER-1,THROW
3,1,reg,A,33.07933495708912,-117.0586549082484,SIDEWINDER-1,THROW
4,1,reg,A,33.0793524435981,-117.05865006348603,SIDEWINDER-1,THROW
5,1,reg,A,33.07956534482699,-117.05847267934627,BUZZZ-1,THROW
6,1,reg,A,33.07998042807616,-117.05791420144033,JUDGE-1,THROW
7,1,reg,A,33.079956451696916,-117.05776355559405,JUDGE-1,MAKE
8,2,reg,A,33.07970268634443,-117.05763592206635,BUZZZ-1,DRIVE
9,2,reg,A,33.0788222359444,-117.05766961029705,JUDGE-1,THROW
10,2,reg,A,33.07892583430268,-117.05784347601991,JUDGE-1,MAKE
11,3,reg,B,33.07929813079937,-117.05732236768682,SIDEWINDER-1,DRIVE
12,3,reg,B,33.080188001533436,-117.057522004539,BUZZZ-1,THROW
13,3,reg,B,33.080658019882556,-117.0574553037792,BUZZZ-1,MAKE
14,4,reg,B,33.08047312063965,-117.05772223752507,SIDEWINDER-1,DRIVE
15,4,reg,B,33.07978654778645,-117.05880352630913,SIDEWINDER-1,THROW
16,4,reg,B,33.07975897273478,-117.05865327095529,BUZZZ-1,THROW
17,4,reg,B,33.07948900723643,-117.05873883428876,JUDGE-1,THROW
18,4,reg,B,33.07949130036789,-117.05878720249771,JUDGE-1,MAKE
19,5,reg,A,33.07930510132057,-117.05924688885501,DESTROYER-1,DRIVE
20,5,reg,A,33.07919934059217,-117.06019464436903,JUDGE-1,THROW
21,5,reg,A,33.07916662747765,-117.06024582842414,JUDGE-1,THROW
22,5,reg,A,33.0808052515043,-117.06102212064746,DESTROYER-1,THROW
23,5,reg,A,33.08133463480759,-117.06105398343047,JUDGE-1,THROW
24,5,reg,A,33.081391919430004,-117.06111650071553,JUDGE-1,THROW
25,5,reg,A,33.08141047210494,-117.06098883898247,DESTROYER-1,THROW
26,5,reg,A,33.081710365572306,-117.06124633360406,BUZZZ-1,THROW
27,5,reg,A,33.08191211930736,-117.06114794019136,JUDGE-1,THROW
28,5,reg,A,33.08208880426173,-117.06110384586538,JUDGE-1,THROW
29,5,reg,A,33.08218034374278,-117.0611149326168,DESTROYER-1,THROW
30,5,reg,A,33.08283939237667,-117.06080098472984,JUDGE-1,THROW
31,5,reg,A,33.08286504298396,-117.06082567482599,JUDGE-1,THROW
32,5,reg,A,33.083437411608884,-117.06098972691873,DESTROYER-1,THROW
33,5,reg,A,33.084272036757994,-117.06129612151076,JUDGE-1,THROW
34,5,reg,A,33.084178505909016,-117.06130307974175,JUDGE-1,THROW
35,5,reg,A,33.084181589248736,-117.06130814070157,JUDGE-1,THROW
36,5,reg,A,33.084451236394635,-117.06125837825887,SIDEWINDER-1,THROW
37,5,reg,A,33.08380390563821,-117.06172306513162,JUDGE-1,THROW
38,5,reg,A,33.08369437449042,-117.0617164575585,JUDGE-1,THROW
39,5,reg,A,33.08390745224724,-117.0617576107266,SIDEWINDER-1,THROW
40,5,reg,A,33.084209407413724,-117.06172355577317,BUZZZ-1,THROW
41,5,reg,A,33.084945543147136,-117.06132186901176,BUZZZ-1,THROW
42,5,reg,A,33.08487292031711,-117.06147948529106,JUDGE-1,THROW
43,5,reg,A,33.084828723583044,-117.0615566263445,JUDGE-1,THROW
44,5,reg,A,33.08481668907597,-117.06158419986482,JUDGE-1,THROW
45,5,reg,A,33.08474400799836,-117.06193395158687,BUZZZ-1,THROW
46,5,reg,A,33.08402381242642,-117.0622653360568,JUDGE-1,THROW
47,5,reg,A,33.083893680104865,-117.06224038860186,JUDGE-1,THROW
48,5,reg,A,33.08392381030745,-117.06223141883795,JUDGE-1,THROW
49,5,reg,A,33.08376647015255,-117.0622634554696,BUZZZ-1,THROW
50,5,reg,A,33.082765994791885,-117.06206832361107,JUDGE-1,THROW
51,5,reg,A,33.08278570602426,-117.06202974532263,JUDGE-1,THROW
52,5,reg,A,33.08286652358918,-117.06184989403951,JUDGE-1,THROW
53,5,reg,A,33.08287796148395,-117.0618284645823,JUDGE-1,THROW
54,5,reg,A,33.082412623674806,-117.06137600028563,SIDEWINDER-1,THROW
55,5,reg,A,33.081944770300275,-117.06144833609287,BUZZZ-1,THROW
56,5,reg,A,33.08159885524858,-117.0613897840169,JUDGE-1,THROW
57,5,reg,A,33.081476303296654,-117.06118276881675,JUDGE-1,THROW
58,5,reg,A,33.08151610984383,-117.0612576812745,JUDGE-1,THROW
59,5,reg,A,33.081527865544246,-117.06126998498394,JUDGE-1,THROW
60,5,reg,A,33.08178123797427,-117.0615509994607,BUZZZ-1,THROW
61,5,reg,A,33.08122512286414,-117.06182164763958,JUDGE-1,THROW
62,5,reg,A,33.08106251085125,-117.06180409324274,JUDGE-1,THROW
63,5,reg,A,33.081060101165775,-117.06181030808318,JUDGE-1,THROW
64,5,reg,A,33.081196347564266,-117.06205043460076,BUZZZ-1,THROW
65,5,reg,A,33.08125135596514,-117.06212542304101,BUZZZ-1,THROW
66,5,reg,A,33.08061284686792,-117.06253657885884,JUDGE-1,THROW
67,5,reg,A,33.080510858610715,-117.06251793442024,JUDGE-1,THROW
68,5,reg,A,33.08055756010614,-117.06221474745489,BUZZZ-1,THROW
69,5,reg,A,33.08015377549619,-117.06233381372557,BUZZZ-1,THROW
70,5,reg,A,33.07993911718911,-117.0625305809109,JUDGE-1,THROW
71,5,reg,A,33.07988183678027,-117.06251739290637,JUDGE-1,THROW
72,5,reg,A,33.07987117892692,-117.06251590323458,JUDGE-1,THROW
73,5,reg,A,33.07985791164709,-117.0625225535382,JUDGE-1,THROW
74,5,reg,A,33.079596272194884,-117.06242789673178,BUZZZ-1,MAKE
